prefecture,year,school
愛媛,2023,川之江
高知,2023,高知中央
福岡,2023,九州国際大付
佐賀,2023,鳥栖工
長崎,2023,創成館
熊本,2023,東海大熊本星翔
大分,2023,明豊
宮崎,2023,宮崎学園
鹿児島,2023,神村学園
沖縄,2023,沖縄尚学
北北海道,2024,白樺学園
南北海道,2024,北海
青森,2024,青森山田
岩手,2024,花巻東
秋田,2024,明桜
山形,2024,鶴岡東
宮城,2024,仙台育英
福島,2024,聖光学院
茨城,2024,霞ヶ浦
栃木,2024,作新学院
群馬,2024,健大高崎
埼玉,2024,花咲徳栄
山梨,2024,山梨学院
千葉,2024,中央学院
東東京,2024,関東一
西東京,2024,日大三
神奈川,2024,横浜
長野,2024,上田西
新潟,2024,日本文理
富山,2024,高岡商
石川,2024,星稜
福井,2024,敦賀気比
静岡,2024,浜松開誠館
愛知,2024,愛工大名電
岐阜,2024,大垣日大
三重,2024,いなべ総合
滋賀,2024,近江
京都,2024,京都国際
奈良,2024,智弁学園
和歌山,2024,智弁和歌山
大阪,2024,大阪桐蔭
兵庫,2024,報徳学園
岡山,2024,創志学園
広島,2024,広陵
鳥取,2024,鳥取城北
島根,2024,立正大淞南
山口,2024,宇部鴻城
香川,2024,英明
徳島,2024,鳴門
愛媛,2024,川之江
高知,2024,明徳義塾
福岡,2024,九州国際大付
佐賀,2024,鳥栖工
長崎,2024,創成館
熊本,2024,東海大熊本星翔
大分,2024,明豊
宮崎,2024,宮崎学園
鹿児島,2024,神村学園
沖縄,2024,沖縄尚学
北北海道,2025,旭川志峯
南北海道,2025,北海
青森,2025,弘前学院聖愛
岩手,2025,花巻東
秋田,2025,金足農
山形,2025,日大山形
宮城,2025,仙台育英
福島,2025,聖光学院
茨城,2025,明秀日立
栃木,2025,青藍泰斗
群馬,2025,健大高崎
埼玉,2025,叡明
山梨,2025,山梨学院
千葉,2025,市船橋
東東京,2025,関東第一
西東京,2025,日大三
神奈川,2025,横浜
長野,2025,松商学園
新潟,2025,中越
富山,2025,未来富山
石川,2025,小松大谷
福井,2025,敦賀気比
静岡,2025,聖隷クリストファー
愛知,2025,豊橋中央
岐阜,2025,県岐阜商
三重,2025,津田学園
滋賀,2025,綾羽
京都,2025,京都国際
奈良,2025,天理
和歌山,2025,智弁和歌山
大阪,2025,東大阪大柏原
兵庫,2025,東洋大姫路
岡山,2025,岡山学芸館
広島,2025,広陵
鳥取,2025,鳥取城北
島根,2025,石見智翠館
山口,2025,高川学園
香川,2025,尽誠学園
徳島,2025,鳴門
愛媛,2025,今治西
高知,2025,高知中央
福岡,2025,西日本短大付
佐賀,2025,佐賀北
長崎,2025,創成館
熊本,2025,熊本工
大分,2025,明豊
宮崎,2025,宮崎商
鹿児島,2025,神村学園
沖縄,2025,沖縄尚学
